file,file_in_repo,repo,repo_version,name,asname,module
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,non_differentiable,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,tangents,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,utils,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,adjoint,,tangent.grads
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,DEFAULT,,tangent.grads
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,tangent_,,tangent.tangents
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,register_all_add_grad,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,register_init_grad,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,register_shape_function,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,register_unbroadcast,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,register_unreduce,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,tensorflow,tf,
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,ops,,tensorflow.python.framework
