file,file_in_repo,repo,repo_version,name,parent_function
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.to_float,dtfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.equal,dtfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,dtfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.to_float,dtfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.equal,dtfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfsquared_difference
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unbroadcast,dtfsquared_difference
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfsquared_difference
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.matmul_adjoint_x,dtfmatmul
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.matmul_adjoint_y,dtfmatmul
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfmatmul
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.nn.conv2d_backprop_input,dtfconv2d
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.shape,dtfconv2d
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.nn.conv2d_backprop_filter,dtfconv2d
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.shape,dtfconv2d
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfconv2d
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.nn.conv2d_backprop_filter,dtfconv2d_backprop_input
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.nn.conv2d,dtfconv2d_backprop_input
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfconv2d_backprop_input
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.nn.conv2d_backprop_input,dtfconv2d_backprop_filter
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.nn.conv2d,dtfconv2d_backprop_filter
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfconv2d_backprop_filter
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.nn._nn_grad.gen_nn_ops._avg_pool_grad,dtfavg_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.shape,dtfavg_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfavg_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.nn._nn_grad.gen_nn_ops._max_pool_grad,dtfmax_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,adjoint,dtfmax_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.shape_as_list,tshape_as_list
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,tshape_as_list
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfexp
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttflog
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.cosh,ttftanh
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttftanh
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.sinh,ttfcosh
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfcosh
