file,repo,repo_version,name,asname,module
estimator.py,tensorflow/ranking,v0.3.1,function_utils,,tensorflow.python.util
estimator.py,tensorflow/ranking,v0.3.1,utils,,tensorflow_ranking.python
estimator.py,tensorflow/ranking,v0.3.1,metrics,,tensorflow_ranking.python.keras
tf_ranking_tfrecord.py,tensorflow/ranking,v0.3.2,flags,,absl
tf_ranking_tfrecord.py,tensorflow/ranking,v0.3.2,tensorflow,tf,
tf_ranking_tfrecord.py,tensorflow/ranking,v0.3.2,tensorflow_ranking,tfr,
tracing.py,google/tangent,v0.1.6,make_vjp,,tensorflow.python.eager.backprop
data_test.py,tensorflow/ranking,v0.1.3,absolute_import,,__future__
data_test.py,tensorflow/ranking,v0.1.3,division,,__future__
data_test.py,tensorflow/ranking,v0.1.3,print_function,,__future__
data_test.py,tensorflow/ranking,v0.1.3,os,,
data_test.py,tensorflow/ranking,v0.1.3,parameterized,,absl.testing
data_test.py,tensorflow/ranking,v0.1.3,numpy,np,
data_test.py,tensorflow/ranking,v0.1.3,tensorflow,tf,
data_test.py,tensorflow/ranking,v0.1.3,text_format,,google.protobuf
data_test.py,tensorflow/ranking,v0.1.3,data,data_lib,tensorflow_ranking.python
head.py,tensorflow/ranking,v0.1.5,absolute_import,,__future__
head.py,tensorflow/ranking,v0.1.5,division,,__future__
head.py,tensorflow/ranking,v0.1.5,print_function,,__future__
head.py,tensorflow/ranking,v0.1.5,abc,,
head.py,tensorflow/ranking,v0.1.5,six,,
head.py,tensorflow/ranking,v0.1.5,tensorflow,tf,
tf_ranking_tfrecord.py,tensorflow/ranking,v0.2.3,flags,,absl
tf_ranking_tfrecord.py,tensorflow/ranking,v0.2.3,tensorflow,tf,
